researcher,title,author,source,pyear,tc,ac,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
mccammonj,ELECTROSTATICS IN BIOMOLECULAR STRUCTURE AND DYNAMICS,"DAVIS, ME; MCCAMMON, JA",CHEMICAL REVIEWS,1990,476,19.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,18,27,25,25,32,23,25,20,18,17,16,19,19,18,9,20,22,20,27,18,28,7
mccammonj,ELECTROSTATICS AND DIFFUSION OF MOLECULES IN SOLUTION - SIMULATIONS WITH THE UNIVERSITY-OF-HOUSTON-BROWNIAN DYNAMICS PROGRAM,"DAVIS, ME; MADURA, JD; LUTY, BA; MCCAMMON, JA",COMPUTER PHYSICS COMMUNICATIONS,1991,429,17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,18,15,19,26,29,20,25,26,20,34,37,29,21,22,15,13,15,9,12,8,5,3
mccammonj,The determinants of pK(a)s in proteins,"Antosiewicz, J; McCammon, JA; Gilson, MK",BIOCHEMISTRY,1996,362,19.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,17,27,17,25,30,21,27,25,21,24,21,18,19,23,12,9,1
mccammonj,COMPUTATIONAL ALCHEMY,"STRAATSMA, TP; MCCAMMON, JA",ANNUAL REVIEW OF PHYSICAL CHEMISTRY,1992,352,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,26,22,26,30,22,18,15,9,11,14,18,11,16,11,13,16,16,14,12,7,3
mccammonj,PICOSECOND DYNAMICS OF TYROSINE SIDE-CHAINS IN PROTEINS,"MCCAMMON, JA; WOLYNES, PG; KARPLUS, M",BIOCHEMISTRY,1979,317,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,11,23,21,16,16,24,16,9,13,14,10,13,9,16,4,10,7,7,9,7,11,3,3,0,3,4,3,2,3,3,2,3,0,0
mccammonj,LIGAND RECEPTOR INTERACTIONS,"TEMBE, BL; MCCAMMON, JA",COMPUTERS & CHEMISTRY,1984,312,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,8,10,14,25,10,15,11,10,5,11,7,4,12,7,10,9,10,11,4,12,11,9,16,19,17,10,4
mccammonj,Molecular dynamics: Survey of methods for simulating the activity of proteins,"Adcock, Stewart A.; McCammon, J. Andrew",CHEMICAL REVIEWS,2006,299,33.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,47,43,47,41,42,31,13
mccammonj,Accelerated molecular dynamics: A promising and efficient simulation method for biomolecules,"Hamelberg, D; Mongan, J; McCammon, JA",JOURNAL OF CHEMICAL PHYSICS,2004,276,25.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,11,18,25,27,23,41,55,47,13
mccammonj,HINGE-BENDING MODE IN LYSOZYME,"MCCAMMON, JA; GELIN, BR; KARPLUS, M; WOLYNES, PG",NATURE,1976,268,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,5,8,14,11,15,6,6,6,1,3,8,11,8,10,11,7,9,7,10,0,3,4,7,4,7,7,9,4,6,8,11,8,5,7,3
mccammonj,BROWNIAN DYNAMICS SIMULATION OF DIFFUSION-INFLUENCED BIMOLECULAR REACTIONS,"NORTHRUP, SH; ALLISON, SA; MCCAMMON, JA",JOURNAL OF CHEMICAL PHYSICS,1984,254,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,14,10,9,7,11,5,4,9,6,11,7,8,9,8,9,10,11,5,10,4,4,4,9,12,9,11,14,9,0
mccammonj,Accommodating protein flexibility in computational drug design,"Carlson, HA; McCammon, JA",MOLECULAR PHARMACOLOGY,2000,242,16.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,23,10,29,22,18,22,19,17,19,17,19,12,4
mccammonj,DYNAMICS OF PROTEINS - ELEMENTS AND FUNCTION,"KARPLUS, M; MCCAMMON, JA",ANNUAL REVIEW OF BIOCHEMISTRY,1983,241,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,23,24,14,15,11,15,8,2,8,3,9,8,9,4,3,5,4,5,5,5,4,7,9,3,9,1,3,4,4
mccammonj,Revisiting free energy calculations: A theoretical connection to MM/PBSA and direct calculation of the association free energy,"Swanson, JMJ; Henchman, RH; McCammon, JA",BIOPHYSICAL JOURNAL,2004,240,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,22,19,22,22,29,30,40,28,3
mccammonj,Shedding light on the dark and weakly fluorescent states of green fluorescent proteins,"Weber, W; Helms, V; McCammon, JA; Langhoff, PW",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1999,238,14.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,18,19,18,19,15,23,16,18,20,18,11,17,13,4
mccammonj,COMPUTATION OF ELECTROSTATIC FORCES ON SOLVATED MOLECULES USING THE POISSON-BOLTZMANN EQUATION,"GILSON, MK; DAVIS, ME; LUTY, BA; MCCAMMON, JA",JOURNAL OF PHYSICAL CHEMISTRY,1993,235,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,10,13,20,11,13,11,10,11,15,9,7,12,9,11,3,11,11,14,15,5
mccammonj,Computational drug design accommodating receptor flexibility: The relaxed complex scheme,"Lin, JH; Perryman, AL; Schames, JR; McCammon, JA",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,2002,216,16.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,11,16,8,16,17,22,35,38,24,6
mccammonj,OPEN BACK DOOR IN A MOLECULAR-DYNAMICS SIMULATION OF ACETYLCHOLINESTERASE,"GILSON, MK; STRAATSMA, TP; MCCAMMON, JA; RIPOLL, DR; FAERMAN, CH; AXELSEN, PH; SILMAN, I; SUSSMAN, JL",SCIENCE,1994,211,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,17,16,16,17,12,7,14,7,12,15,13,3,14,8,5,7,4,4,1
mccammonj,"SEPARATION-SHIFTED SCALING, A NEW SCALING METHOD FOR LENNARD-JONES INTERACTIONS IN THERMODYNAMIC INTEGRATION","ZACHARIAS, M; STRAATSMA, TP; MCCAMMON, JA",JOURNAL OF CHEMICAL PHYSICS,1994,200,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,4,5,6,4,5,7,11,10,7,14,11,12,18,25,22,19,10
mccammonj,Ewald artifacts in computer simulations of ionic solvation and ion-ion interaction: A continuum electrostatics study,"Hunenberger, PH; McCammon, JA",JOURNAL OF CHEMICAL PHYSICS,1999,198,12.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,19,10,13,14,19,16,9,14,10,10,20,8,10,6
mccammonj,DYNAMICAL THEORY OF ACTIVATED PROCESSES IN GLOBULAR-PROTEINS,"NORTHRUP, SH; PEAR, MR; LEE, CY; MCCAMMON, JA; KARPLUS, M",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA-BIOLOGICAL SCIENCES,1982,191,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,8,9,11,5,6,5,9,12,9,6,6,10,9,7,8,4,5,8,2,3,4,5,1,2,3,5,8,4,0,0
mccammonj,THEORETICAL CALCULATION OF RELATIVE BINDING-AFFINITY IN HOST GUEST SYSTEMS,"LYBRAND, TP; MCCAMMON, JA; WIPFF, G",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1986,177,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,14,18,15,18,13,11,8,5,7,1,2,3,3,0,3,1,0,2,3,1,1,3,4,4,5,3,2
mccammonj,PROTEIN DYNAMICS,"MCCAMMON, JA",REPORTS ON PROGRESS IN PHYSICS,1984,175,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,25,11,13,17,4,6,3,3,3,9,3,4,3,3,3,7,3,2,3,1,5,4,3,1,1,5,3,1,0
mccammonj,A MOLECULAR MECHANICS GRID METHOD FOR EVALUATION OF LIGAND-RECEPTOR INTERACTIONS,"LUTY, BA; WASSERMAN, ZR; STOUTEN, PFW; HODGE, CN; ZACHARIAS, M; MCCAMMON, JA",JOURNAL OF COMPUTATIONAL CHEMISTRY,1995,170,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,19,20,10,12,11,19,11,10,12,10,5,2,5,2,1,2,0
mccammonj,STOCHASTICALLY GATED DIFFUSION-INFLUENCED REACTIONS,"SZABO, A; SHOUP, D; NORTHRUP, SH; MCCAMMON, JA",JOURNAL OF CHEMICAL PHYSICS,1982,165,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,7,7,6,5,5,5,4,2,2,7,12,11,6,6,6,6,6,3,4,2,3,1,2,4,5,10,4,4,0
mccammonj,Developing a dynamic pharmacophore model for HIV-1 integrase,"Carlson, HA; Masukawa, KM; Rubins, K; Bushman, FD; Jorgensen, WL; Lins, RD; Briggs, JM; McCammon, JA",JOURNAL OF MEDICINAL CHEMISTRY,2000,160,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,12,13,14,11,20,18,8,10,11,14,8,6
mccammonj,MULTICONFIGURATION THERMODYNAMIC INTEGRATION,"STRAATSMA, TP; MCCAMMON, JA",JOURNAL OF CHEMICAL PHYSICS,1991,155,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,7,10,4,3,5,2,2,5,4,5,8,8,7,8,6,9,16,10,9,0
mccammonj,Molecular dynamics simulations of a polyalanine octapeptide under Ewald boundary conditions: Influence of artificial periodicity on peptide conformation,"Weber, W; Hunenberger, PH; McCammon, JA",JOURNAL OF PHYSICAL CHEMISTRY B,2000,153,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,13,10,15,21,6,13,14,9,12,4,6,6
mccammonj,Conformation gating as a mechanism for enzyme specificity,"Zhou, HX; Wlodek, ST; McCammon, JA",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1998,153,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,18,9,10,9,9,9,6,9,12,10,10,9,10,2
mccammonj,SODIUM-CHLORIDE ION-PAIR INTERACTION IN WATER - COMPUTER-SIMULATION,"BERKOWITZ, M; KARIM, OA; MCCAMMON, JA; ROSSKY, PJ",CHEMICAL PHYSICS LETTERS,1984,153,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,14,9,3,9,8,7,11,7,10,3,3,2,3,4,9,5,1,7,2,1,3,3,3,4,3,5,3,1,0
mccammonj,Effect of artificial periodicity in simulations of biomolecules under Ewald boundary conditions: a continuum electrostatics study,"Hunenberger, PH; McCammon, JA",BIOPHYSICAL CHEMISTRY,1999,152,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,8,14,14,14,11,7,10,8,9,14,6,6,4
mccammonj,Constant pH molecular dynamics in generalized born implicit solvent,"Mongan, J; Case, DA; McCammon, JA",JOURNAL OF COMPUTATIONAL CHEMISTRY,2004,150,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,10,18,12,15,29,13,25,4
mccammonj,MOLECULAR-DYNAMICS WITH STOCHASTIC BOUNDARY-CONDITIONS,"BERKOWITZ, M; MCCAMMON, JA",CHEMICAL PHYSICS LETTERS,1982,150,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,6,6,6,11,11,5,5,6,8,0,3,5,1,5,5,3,7,8,8,1,10,8,2,5,3,1,2
mccammonj,SOLVING THE FINITE-DIFFERENCE LINEARIZED POISSON-BOLTZMANN EQUATION - A COMPARISON OF RELAXATION AND CONJUGATE-GRADIENT METHODS,"DAVIS, ME; MCCAMMON, JA",JOURNAL OF COMPUTATIONAL CHEMISTRY,1989,149,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,9,10,11,6,13,5,7,9,5,7,3,2,7,3,5,7,2,6,4,9,7,0
mccammonj,Discovery of a novel binding trench in HIV integrase,"Schames, JR; Henchman, RH; Siegel, JS; Sotriffer, CA; Ni, HH; McCammon, JA",JOURNAL OF MEDICINAL CHEMISTRY,2004,148,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,13,12,12,18,19,27,19,8
mccammonj,MOLECULAR-DYNAMICS OF FERROCYTOCHROME-C - MAGNITUDE AND ANISOTROPY OF ATOMIC DISPLACEMENTS,"NORTHRUP, SH; PEAR, MR; MORGAN, JD; MCCAMMON, JA; KARPLUS, M",JOURNAL OF MOLECULAR BIOLOGY,1981,145,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,13,11,10,5,8,11,12,3,8,6,0,4,2,3,2,2,1,3,3,2,2,0,0,3,1,0,3,1,0,0
mccammonj,Computer simulation of protein-protein interactions,"Elcock, AH; Sept, D; McCammon, JA",JOURNAL OF PHYSICAL CHEMISTRY B,2001,142,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,15,17,11,14,11,14,8,11,8,7,7,1
mccammonj,FREE-ENERGY DIFFERENCE CALCULATIONS BY THERMODYNAMIC INTEGRATION - DIFFICULTIES IN OBTAINING A PRECISE VALUE,"MITCHELL, MJ; MCCAMMON, JA",JOURNAL OF COMPUTATIONAL CHEMISTRY,1991,139,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,19,17,8,9,11,4,5,4,3,2,0,1,3,3,2,2,2,7,3,2,4,3
mccammonj,Electrostatic influence on the kinetics of ligand binding to acetylcholinesterase - Distinctions between active center ligands and fasciculin,"Radic, Z; Kirchhoff, PD; Quinn, DM; McCammon, JA; Taylor, P",JOURNAL OF BIOLOGICAL CHEMISTRY,1997,138,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,9,11,12,5,8,10,10,10,12,6,6,6,5,5,2
mccammonj,DIFFUSIVE LANGEVIN DYNAMICS OF MODEL ALKANES,"LEVY, RM; KARPLUS, M; MCCAMMON, JA",CHEMICAL PHYSICS LETTERS,1979,137,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,17,6,14,4,7,5,3,7,4,2,6,1,8,6,1,1,1,4,2,0,1,3,3,3,1,1,3,3,0,1,2,0,0,0
mccammonj,Role of the catalytic triad and oxyanion hole in acetylcholinesterase catalysis: An ab initio QM/MM study,"Zhang, YK; Kua, J; McCammon, JA",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,2002,135,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,22,14,11,11,14,10,15,13,2
mccammonj,HIV-1 protease molecular dynamics of a wild-type and of the V82F/I84V mutant: Possible contributions to drug resistance and a potential new target site for drugs,"Perryman, AL; Lin, JH; McCammon, JA",PROTEIN SCIENCE,2004,132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,23,18,17,15,10,10,12,13,3
mccammonj,SIMULATION OF PROTEIN DYNAMICS,"MCCAMMON, JA; KARPLUS, M",ANNUAL REVIEW OF PHYSICAL CHEMISTRY,1980,130,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,19,16,14,8,5,10,5,1,3,4,3,1,1,3,2,1,0,1,0,0,1,0,0,2,0,1,1,2,1,1,0,1
mccammonj,DIELECTRIC BOUNDARY SMOOTHING IN FINITE-DIFFERENCE SOLUTIONS OF THE POISSON EQUATION - AN APPROACH TO IMPROVE ACCURACY AND CONVERGENCE,"DAVIS, ME; MCCAMMON, JA",JOURNAL OF COMPUTATIONAL CHEMISTRY,1991,127,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,8,6,14,9,9,6,5,6,2,4,7,3,3,3,2,4,4,4,4,0
mccammonj,POINT-CHARGE DISTRIBUTIONS AND ELECTROSTATIC STEERING IN ENZYME SUBSTRATE ENCOUNTER - BROWNIAN DYNAMICS OF MODIFIED COPPER-ZINC SUPEROXIDE DISMUTASES,"SINES, JJ; ALLISON, SA; MCCAMMON, JA",BIOCHEMISTRY,1990,124,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,17,12,6,8,11,6,5,8,4,5,2,2,1,0,0,1,1,5,2,1,0
mccammonj,CONTINUUM MODEL-CALCULATIONS OF SOLVATION FREE-ENERGIES - ACCURATE EVALUATION OF ELECTROSTATIC CONTRIBUTIONS,"MOHAN, V; DAVIS, ME; MCCAMMON, JA; PETTITT, BM",JOURNAL OF PHYSICAL CHEMISTRY,1992,122,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,18,9,17,15,7,11,4,3,6,2,4,5,1,3,4,0,3,3,2,0,0
